idx,loop,psnr,ssim
0,0,11.464893680077354,0.4202095836911173
0,1,11.465459866736769,0.42021934946216666
0,2,11.466329873033988,0.42022886975299945
0,3,11.467434645790277,0.42024532846785095
0,4,11.468718325831851,0.42026486635749477
0,5,11.470117166655323,0.4202846668162012
0,6,11.471608412027178,0.4203050925286673
0,7,11.473157128228834,0.420326847698085
0,8,11.474758805931828,0.42034959812948597
0,9,11.476397136684206,0.42036988560675725
0,10,11.478071784640274,0.42038860351674306
0,11,11.479759840916927,0.42040652553883
0,12,11.481464332870704,0.4204232077494636
0,13,11.483182931213431,0.4204387309593644
0,14,11.484908125677912,0.4204516867281411
0,15,11.486640829240828,0.4204621193727056
0,16,11.488384504904122,0.42047135911776895
0,17,11.490135142586437,0.4204799093326688
0,18,11.491895370488635,0.4204869049600468
0,19,11.4936583910433,0.4204912760774378
0,20,11.495429294044923,0.42049460608894734
